state,month,rainfall_normal,temperature,historical_landslides,landslide
ARUNACHAL PRADESH,1,53.6875,-2.4,0.0,0
ARUNACHAL PRADESH,2,93.29375,-1.0,0.0,0
ARUNACHAL PRADESH,3,165.01875,1.6,0.0,0
ARUNACHAL PRADESH,4,275.1625,4.8,2.0,1
ARUNACHAL PRADESH,5,300.2625,8.0,0.0,0
ARUNACHAL PRADESH,6,491.38125,11.2,1.0,1
ARUNACHAL PRADESH,7,547.58125,12.1,2.0,1
ARUNACHAL PRADESH,8,378.6,11.9,0.0,0
ARUNACHAL PRADESH,9,366.475,10.5,0.0,0
ARUNACHAL PRADESH,10,176.76874999999998,6.7,0.0,0
ARUNACHAL PRADESH,11,43.1875,2.8,0.0,0
ARUNACHAL PRADESH,12,35.95625,-0.2,0.0,0
ASSAM,1,15.733333333333334,17.6,0.0,0
ASSAM,2,31.71481481481482,20.2,0.0,0
ASSAM,3,77.76296296296296,23.9,0.0,0
ASSAM,4,181.26666666666665,25.1,0.0,0
ASSAM,5,333.8703703703704,26.1,1.0,1
ASSAM,6,465.1851851851852,27.3,3.0,1
ASSAM,7,494.8444444444445,27.5,2.0,1
ASSAM,8,377.3703703703704,27.7,1.0,1
ASSAM,9,303.8,27.0,0.0,0
ASSAM,10,136.44814814814814,25.3,0.0,0
ASSAM,11,24.92222222222222,22.0,0.0,0
ASSAM,12,11.44074074074074,18.9,0.0,0
MEGHALAYA,1,14.9,13.04,0.0,0
MEGHALAYA,2,21.685714285714287,15.79,0.0,0
MEGHALAYA,3,74.75714285714285,18.93,0.0,0
MEGHALAYA,4,211.22857142857143,20.63,0.0,0
MEGHALAYA,5,430.04285714285714,21.53,2.0,1
MEGHALAYA,6,757.2285714285715,22.3,1.0,1
MEGHALAYA,7,857.7428571428571,22.13,0.0,0
MEGHALAYA,8,584.3714285714285,22.27,0.0,0
MEGHALAYA,9,454.7,21.64,0.0,0
MEGHALAYA,10,225.57142857142856,19.66,0.0,0
MEGHALAYA,11,39.57142857142857,16.77,0.0,0
MEGHALAYA,12,11.042857142857144,14.0,0.0,0
MANIPUR,1,22.6,20.6,0.0,0
MANIPUR,2,55.12222222222222,24.3,0.0,0
MANIPUR,3,82.41111111111111,28.1,0.0,0
MANIPUR,4,150.76666666666668,30.7,0.0,0
MANIPUR,5,213.37777777777777,30.0,2.0,1
MANIPUR,6,487.0888888888889,27.9,6.0,1
MANIPUR,7,498.05555555555554,27.6,4.0,1
MANIPUR,8,451.8,27.4,1.0,1
MANIPUR,9,278.4,26.4,0.0,0
MANIPUR,10,189.22222222222223,26.4,0.0,0
MANIPUR,11,56.0,23.6,0.0,0
MANIPUR,12,11.788888888888888,20.8,0.0,0
MIZORAM,1,11.566666666666668,18.33,0.0,0
MIZORAM,2,29.944444444444443,21.73,0.0,0
MIZORAM,3,96.25555555555556,25.92,0.0,0
MIZORAM,4,152.60000000000002,28.69,0.0,0
MIZORAM,5,321.32222222222225,28.62,0.0,0
MIZORAM,6,429.8333333333333,27.1,1.0,1
MIZORAM,7,452.31111111111113,26.4,0.0,0
MIZORAM,8,440.5888888888889,26.48,0.0,0
MIZORAM,9,372.1555555555556,26.36,0.0,0
MIZORAM,10,229.82222222222225,25.29,0.0,0
MIZORAM,11,64.63333333333334,22.58,0.0,0
MIZORAM,12,15.288888888888888,19.48,0.0,0
NAGALAND,1,18.481818181818184,15.9,0.0,0
NAGALAND,2,27.67272727272728,18.2,0.0,0
NAGALAND,3,63.01818181818182,21.5,0.0,0
NAGALAND,4,134.22727272727272,23.5,0.0,0
NAGALAND,5,213.38181818181815,25.2,2.0,1
NAGALAND,6,340.3181818181818,26.7,0.0,0
NAGALAND,7,395.0363636363636,26.8,2.0,1
NAGALAND,8,350.8727272727273,26.7,0.0,0
NAGALAND,9,227.62727272727275,25.9,0.0,0
NAGALAND,10,121.15454545454546,23.6,1.0,1
NAGALAND,11,38.554545454545455,20.0,0.0,0
NAGALAND,12,10.354545454545455,16.9,0.0,0
SIKKIM,1,47.55,9.4,1.0,1
SIKKIM,2,77.3,10.9,0.0,0
SIKKIM,3,130.6,13.7,0.0,0
SIKKIM,4,206.9,16.6,1.0,1
SIKKIM,5,323.54999999999995,18.7,2.0,1
SIKKIM,6,483.8,20.3,1.0,1
SIKKIM,7,499.2,20.3,2.0,1
SIKKIM,8,434.6,20.4,2.0,1
SIKKIM,9,373.15,19.6,1.0,1
SIKKIM,10,209.85,17.3,0.0,0
SIKKIM,11,30.95,13.9,0.0,0
SIKKIM,12,20.9,11.0,0.0,0
TRIPURA,1,11.225,18.5,0.0,0
TRIPURA,2,33.65,21.7,0.0,0
TRIPURA,3,93.625,25.6,0.0,0
TRIPURA,4,220.75,27.4,0.0,0
TRIPURA,5,391.575,27.6,1.0,1
TRIPURA,6,465.425,27.5,0.0,0
TRIPURA,7,414.975,27.1,0.0,0
TRIPURA,8,356.475,27.3,0.0,0
TRIPURA,9,260.35,27.0,0.0,0
TRIPURA,10,176.65,25.9,0.0,0
TRIPURA,11,43.3,22.7,0.0,0
TRIPURA,12,11.125,19.5,0.0,0
